step,mode,loss,angle_error(rad),distance(m)
1,training,0.00548318,0.0700231483206153,0.0
2,training,0.024192834,0.06160872895270586,0.0
3,training,0.022317957,0.03856842964887619,0.0
4,training,0.021853728,0.09037508070468905,0.0
5,training,0.0188241,0.08447932824492455,0.0
6,training,0.015000292,0.1463964730501175,0.034870964137313644
7,training,0.020561177,0.1294720806181431,0.034870964137313644
8,training,0.018833304,0.11478680372238159,0.034870964137313644
9,training,0.019356577,0.16650742292404178,0.034870964137313644
10,training,0.02365957,0.13596906512975693,0.034870964137313644
11,training,0.01641172,0.18479630351066595,0.034870964137313644
12,training,0.03022167,0.13231730461120605,0.06521024372042783
13,training,0.020206813,0.13337621837854385,0.06521024372042783
14,training,0.024539499,0.26843903958797455,0.06521024372042783
15,training,0.017381793,0.23557671159505839,0.06521024372042783
16,training,0.034687217,0.1556897684931755,0.06521024372042783
17,training,0.021690516,0.05393420159816742,0.06521024372042783
18,training,0.02818478,0.018848001956939697,0.08417021374398795
19,training,0.0032148769,0.09641173481941223,0.08417021374398795
20,training,0.024166945,0.08743074536323545,0.08417021374398795
21,training,0.018481266,0.05534527450799942,0.08417021374398795
22,training,0.028003363,0.005479335784912109,0.08417021374398795
23,training,0.014652245,0.06420454382896423,0.08417021374398795
24,training,0.008891536,0.2002232763916254,0.07925085111737043
25,training,0.018644841,0.21141236647963524,0.07925085111737043
26,training,0.037194487,0.16568808257579803,0.07925085111737043
27,training,0.010019043,0.30909357964992523,0.07925085111737043
28,training,0.062233664,0.30794045329093933,0.07925085111737043
29,training,0.0113892285,0.30099421739578247,0.07362932573103022
30,training,0.028571675,0.31121453642845154,0.07362932573103022
31,training,0.03308902,0.3115254044532776,0.07362932573103022
32,training,0.02983987,0.306853786110878,0.07362932573103022
33,training,0.034693364,0.31029053777456284,0.07362932573103022
34,training,0.033174824,0.30479278415441513,0.07362932573103022
35,training,0.026983216,0.3087688758969307,0.07362932573103022
36,training,0.022909781,0.3010357543826103,0.07362932573103022
37,training,0.04588615,0.3026639372110367,0.030114385111968966
38,training,0.025619453,0.309280913323164,0.030114385111968966
39,training,0.031120809,0.2975268252193928,0.030114385111968966
40,training,0.022803811,0.30027278512716293,0.030114385111968966
41,training,0.04697992,0.30739183351397514,0.030114385111968966
42,training,0.037345722,0.2963273823261261,0.030114385111968966
43,training,0.038469557,0.3137995470315218,0.030114385111968966
44,training,0.060084764,0.30908711627125746,0.1893294203694468
45,training,0.049107034,0.304023128002882,0.1893294203694468
46,training,0.07387238,0.6170168477110564,0.1893294203694468
47,training,0.044894055,0.6120353434234858,0.1893294203694468
48,training,0.07892527,0.8163263921160251,0.281322983210796
49,training,0.040235132,0.5788657022640109,0.281322983210796
50,training,0.046038184,0.6011732593178749,0.2866283425741143
51,training,0.09183797,0.5054109753109515,0.2866283425741143
52,training,0.050126325,0.2854575947858393,0.27781328640710695
53,training,0.0364844,0.2015263068024069,0.27781328640710695
54,training,0.052170508,0.05643420014530421,0.27781328640710695
55,training,0.065949365,0.11887611635029316,0.27781328640710695
56,training,0.044177916,0.07194966077804564,0.015612156929752216
57,training,0.08059701,0.023873865604400628,0.015612156929752216
58,training,0.12009545,0.03287414979422465,0.015612156929752216
59,training,0.07047908,0.04362385533750057,0.015612156929752216
60,training,0.063987635,0.02976420149207116,0.02264938260879302
61,training,0.051458836,0.06392543390393257,0.02264938260879302
62,training,0.04111139,0.08562670648097992,0.02264938260879302
63,training,0.06621492,0.13885417580604553,0.02264938260879302
64,training,0.034967426,0.17249536886811256,0.014355224360086401
65,training,0.0523772,0.24619033560156817,0.014355224360086401
66,training,0.09904292,0.2151670716702938,0.014355224360086401
67,training,0.040388383,0.24449397251009938,0.014355224360086401
68,training,0.031416345,0.2728521302342415,0.014355224360086401
69,training,0.10252998,0.32344629243016243,0.014355224360086401
70,training,0.029268678,0.2745867446064949,0.009850504595874747
71,training,0.029625585,0.3187592886388302,0.009850504595874747
72,training,0.068738826,0.32175914943218226,0.009850504595874747
73,training,0.085478984,0.2788379043340683,0.009850504595874747
74,training,0.108703434,0.3284493684768677,0.009850504595874747
75,training,0.032017335,0.33156908303499216,0.009850504595874747
76,training,0.041831657,0.32614656537771225,0.09943946138024405
77,training,0.10887641,0.30673006922006607,0.09943946138024405
78,training,0.06853967,0.3166990652680397,0.09943946138024405
79,training,0.07047586,0.3395509123802185,0.09943946138024405
80,training,0.120026395,0.32190147042274475,0.09943946138024405
81,training,0.064528905,0.3372347205877304,0.09943946138024405
82,training,0.026556741,0.35216839611530304,0.20884237619568358
83,training,0.046692736,0.29969483613967896,0.20884237619568358
84,training,0.041546933,0.6346964240074158,0.20884237619568358
85,training,0.048421573,0.7645978182554244,0.20884237619568358
86,training,0.048882734,0.9301380664110184,0.20884237619568358
87,training,0.06084626,0.8262597471475601,0.30562290606667114
88,training,0.05095712,0.6547840461134912,0.30562290606667114
89,training,0.07952738,0.41165233403444296,0.3220424416232734
90,training,0.038235933,0.23888539522886276,0.3220424416232734
91,training,0.12112537,0.18898004665970802,0.31659641189552507
92,training,0.049651533,0.02819038182497023,0.31659641189552507
93,training,0.027068311,0.08119258028455079,0.31659641189552507
94,training,0.125669,0.1470843330025673,0.2626862154067511
95,training,0.073770925,0.21919475495815274,0.2626862154067511
96,training,0.038895283,0.23882408440113068,0.2626862154067511
97,training,0.06319591,0.24158425629138947,0.2626862154067511
98,training,0.04081402,0.176949605345726,0.2626862154067511
99,training,0.05932138,0.23437555134296414,0.1669222622558405
100,training,0.1122309,0.16033826023340225,0.1669222622558405
101,training,0.03893875,0.1621020846068859,0.1669222622558405
102,training,0.032166764,0.07955197058618069,0.1669222622558405
103,training,0.061507218,0.1731233075261116,0.0994484248193094
104,training,0.079153694,0.21940510720014572,0.0994484248193094
105,training,0.026335761,0.23275423049926758,0.0994484248193094
106,training,0.03944812,0.2105843462049961,0.0994484248193094
107,training,0.0149032,0.20080205053091052,0.0994484248193094
108,training,0.032248173,0.19868094474077225,0.0994484248193094
109,training,0.032362368,0.1785435751080513,0.0994484248193094
110,training,0.04963327,0.14592844247817993,0.06489587184217224
111,training,0.16573867,0.14960530400276184,0.06489587184217224
112,training,0.017859377,0.14688916504383087,0.06489587184217224
113,training,0.013408422,0.12322492152452469,0.06489587184217224
114,training,0.069830246,0.07910143211483955,0.051273905174929406
115,training,0.07499856,0.06571211386471987,0.051273905174929406
116,training,0.03614719,0.04351094225421548,0.051273905174929406
117,training,0.05316429,0.04683428490534425,0.045448003988773675
118,training,0.017155837,0.025826171040534973,0.045448003988773675
119,training,0.0494588,0.0014812361332587898,0.045448003988773675
120,training,0.016435543,0.006192129105329512,0.045448003988773675
121,training,0.046323106,0.0006955843418836594,0.03462107879039429
122,training,0.0101013975,0.006777604576200247,0.03462107879039429
123,training,0.029845554,0.013222197536379099,0.03462107879039429
124,training,0.019386092,0.0070499819703400135,0.026927326530062773
125,training,0.012491957,0.01382265891879797,0.026927326530062773
126,training,0.03485894,0.020599184557795525,0.026927326530062773
127,training,0.01640023,0.11581918597221375,0.026927326530062773
128,training,0.0062459437,0.1540989801287651,0.032973148530434135
129,training,0.06865343,0.1701793521642685,0.032973148530434135
130,training,0.009965882,0.22133031487464905,0.032973148530434135
131,training,0.029355843,0.21290792524814606,0.032973148530434135
132,training,0.034130715,0.23899956047534945,0.032973148530434135
133,training,0.036994006,0.2658708691596985,0.045528810180327034
134,training,0.018751401,0.30868614464998245,0.045528810180327034
135,training,0.013901926,0.3255947083234787,0.045528810180327034
136,training,0.014001037,0.22886153310537338,0.045528810180327034
137,training,0.053581536,0.2557484433054924,0.045528810180327034
138,training,0.06664273,0.26824695616960526,0.045528810180327034
139,training,0.021801438,0.3039292097091675,0.08126868356964255
140,training,0.004340657,0.29208294302225113,0.08126868356964255
141,training,0.022994269,0.22298946604132652,0.08126868356964255
142,training,0.016258335,0.22222458571195602,0.08126868356964255
143,training,0.011534406,0.1957270111888647,0.08126868356964255
144,training,0.016813945,0.2852319069206715,0.08126868356964255
145,training,0.038589947,0.2771517150104046,0.08126868356964255
