step,mode,loss,angle_error(rad),distance(m)
1,training,0.0,0.0,0.0
2,training,0.020026667,0.010147476568818092,0.0
3,training,0.019894602,0.015652120113372803,0.0
4,training,0.019381164,0.011813730467110872,0.0
5,training,0.022666747,0.015684526413679123,0.0
6,training,0.022725271,0.02007631678134203,0.0
7,training,0.025304712,0.05896518565714359,0.0
8,training,0.01647859,0.05897020781412719,0.0
9,training,0.018373523,0.12185798957943916,0.030322472485212346
10,training,0.025625074,0.11150055751204488,0.030322472485212346
11,training,0.01781672,0.12968153692781925,0.030322472485212346
12,training,0.008860629,0.1285311710089445,0.030322472485212346
13,training,0.019978289,0.1664310209453106,0.030322472485212346
14,training,0.021088377,0.16451135277748105,0.030322472485212346
15,training,0.019352097,0.10160468146204948,0.04463801415808367
16,training,0.013674158,0.08629013597965238,0.04463801415808367
17,training,0.011945451,0.0808744095265865,0.04463801415808367
18,training,0.014138973,0.07261421903967857,0.04463801415808367
19,training,0.018185878,0.10243216529488564,0.04463801415808367
20,training,0.019875636,0.08970774710178375,0.04463801415808367
21,training,0.018859653,0.12323178723454473,0.09718989630938193
22,training,0.020823834,0.17254404723644257,0.09718989630938193
23,training,0.014945108,0.15714715421199799,0.09718989630938193
24,training,0.0047312384,0.14689932763576505,0.09718989630938193
25,training,0.02365098,0.13773059472441676,0.09718989630938193
26,training,0.01712081,0.2020007073879242,0.09718989630938193
27,training,0.019464742,0.30087546259164805,0.14848499184150832
28,training,0.014922835,0.12230973690748215,0.14848499184150832
29,training,0.010468283,0.09451720863580704,0.14848499184150832
30,training,0.026655464,0.07669885456562042,0.14848499184150832
31,training,0.018540403,0.13083143532276154,0.14848499184150832
32,training,0.0068850713,0.06524057686328891,0.14848499184150832
33,training,0.0057547595,0.08487135916948318,0.1734255197185721
34,training,0.014867814,0.02077162265777588,0.1734255197185721
35,training,0.008156069,0.07341304421424868,0.1734255197185721
36,training,0.026890788,0.016455411911010742,0.1734255197185721
37,training,0.013651091,0.060654040426015854,0.1734255197185721
38,training,0.004006744,0.04531705006957055,0.1734255197185721
39,training,0.025581613,0.07653968408703804,0.19593538654317216
40,training,0.013103712,0.06973922997713089,0.19593538654317216
41,training,0.017806817,0.06304770521819592,0.19593538654317216
42,training,0.01384095,0.027794077992439256,0.19593538654317216
43,training,0.029146614,0.07802264392375946,0.19593538654317216
44,training,0.01280083,0.07954239286482334,0.19593538654317216
45,training,0.013352534,0.15658541023731232,0.20799462840666666
46,training,0.030036287,0.14117610082030296,0.20799462840666666
47,training,0.02190686,0.1309315487742424,0.20799462840666666
48,training,0.018113049,0.1676424890756607,0.20799462840666666
49,training,0.0118238265,0.1539674624800682,0.20799462840666666
50,training,0.0103834495,0.14790569990873337,0.20799462840666666
51,training,0.027904458,0.21547846496105194,0.1449548212995851
52,training,0.023828331,0.17652420699596405,0.1449548212995851
53,training,0.018634534,0.11779498308897018,0.1449548212995851
54,training,0.023505725,0.08138059079647064,0.1449548212995851
55,training,0.017314913,0.07561919838190079,0.1449548212995851
56,training,0.018840143,0.09486058913171291,0.1449548212995851
57,training,0.020713963,0.12733140587806702,0.12288674137591551
58,training,0.017527204,0.13092412054538727,0.12288674137591551
59,training,0.02229196,0.1390975769609213,0.12288674137591551
60,training,0.02114593,0.06557299755513668,0.12288674137591551
61,training,0.012349985,0.10142061859369278,0.12288674137591551
62,training,0.0144049395,0.18791699409484866,0.12288674137591551
63,training,0.020391233,0.14871075004339218,0.13160315053284516
64,training,0.009657461,0.22045380622148514,0.13160315053284516
65,training,0.035064355,0.18170802295207977,0.13160315053284516
66,training,0.009960904,0.1664011999964714,0.13160315053284516
67,training,0.014699398,0.23186975717544556,0.13160315053284516
68,training,0.013433488,0.2268836051225662,0.13160315053284516
69,training,0.02646774,0.21600178629159927,0.12985723263345464
70,training,0.01519603,0.1961190104484558,0.12985723263345464
71,training,0.023346862,0.1545264720916748,0.12985723263345464
72,training,0.013916454,0.16242841258645055,0.12985723263345464
73,training,0.028896425,0.11953879939392208,0.12985723263345464
74,training,0.018464388,0.07085030432790518,0.12985723263345464
75,training,0.018836001,0.07871935609728097,0.15241270805931334
76,training,0.011532295,0.06802523322403432,0.15241270805931334
77,training,0.02720414,0.07616765610873699,0.15241270805931334
78,training,0.02121346,0.09843283891677856,0.15241270805931334
79,training,0.009797364,0.10413157194852829,0.15241270805931334
80,training,0.027359542,0.09777143504470587,0.1599287862233184
81,training,0.01687237,0.08102151425555348,0.1599287862233184
82,training,0.018075362,0.05458095157518983,0.1599287862233184
83,training,0.016602093,0.023545511066913605,0.1599287862233184
84,training,0.017327653,0.05578986555337906,0.1599287862233184
85,training,0.008349881,0.06859704107046127,0.1599287862233184
86,training,0.01174422,0.10973216034471989,0.10443806389995525
87,training,0.007303224,0.14052930660545826,0.10443806389995525
88,training,0.016414931,0.15143110044300556,0.10443806389995525
89,training,0.024800222,0.12966870749369264,0.10443806389995525
90,training,0.02039753,0.10880527878180146,0.10443806389995525
91,training,0.007221338,0.09836339432513341,0.10443806389995525
92,training,0.0116025265,0.0984131422592327,0.04544008643251451
93,training,0.0131394025,0.08496777154505253,0.04544008643251451
94,training,0.01045908,0.11188218742609024,0.04544008643251451
95,training,0.009166333,0.1021328618080588,0.04544008643251451
96,training,0.011355245,0.14072868414223194,0.04544008643251451
97,training,0.009907851,0.1006133072078228,0.04544008643251451
98,training,0.021181975,0.12548956274986267,0.01238849007070814
99,training,0.008302452,0.17769242450594902,0.01238849007070814
100,training,0.010784318,0.1257437840104103,0.01238849007070814
101,training,0.004824452,0.06892535276710987,0.01238849007070814
102,training,0.010941481,0.043457128107547746,0.01238849007070814
103,training,0.0044130017,0.05306565016508104,0.01238849007070814
104,training,0.030843198,0.057922150939702974,0.037066621670632516
105,training,0.008865265,0.09130055829882622,0.037066621670632516
106,training,0.011141265,0.11033704411238432,0.037066621670632516
107,training,0.006475091,0.1516965664923191,0.037066621670632516
108,training,0.012393787,0.1715106386691332,0.037066621670632516
109,training,0.00863886,0.09095056354999542,0.037066621670632516
110,training,0.003642864,0.09677683841437101,0.06263883600067649
111,training,0.0054084314,0.14695591479539874,0.06263883600067649
112,training,0.0031015219,0.09454440511763096,0.06263883600067649
113,training,0.009466398,0.14892502967268226,0.06263883600067649
114,training,0.002613479,0.14215284958481786,0.06263883600067649
115,training,0.0061801784,0.04499540477991104,0.06263883600067649
116,training,0.0065899985,0.15356917865574357,0.06713312479239869
117,training,0.007910985,0.10340373031795025,0.06713312479239869
118,training,0.007498147,0.1757909068837762,0.06713312479239869
119,training,0.017244566,0.16429089911980552,0.06713312479239869
120,training,0.005966199,0.15065423119813204,0.06713312479239869
121,training,0.009193267,0.10137640684843062,0.07393530723302992
122,training,0.004506213,0.0577312670648098,0.07393530723302992
123,training,0.013108841,0.05048467218875885,0.07393530723302992
124,training,0.009565127,0.06888376548886299,0.07393530723302992
125,training,0.013030011,0.02666185237467289,0.07393530723302992
126,training,0.0029024659,0.10060472786426543,0.08713914678599288
127,training,0.008226275,0.07939809677191079,0.08713914678599288
128,training,0.0052726073,0.10408605262637138,0.08713914678599288
129,training,0.007456303,0.07571480423212049,0.08713914678599288
130,training,0.004494434,0.05991022288799286,0.08713914678599288
131,training,0.0012911366,0.04405959695577623,0.08713914678599288
132,training,0.007143026,0.0013486482203006675,0.08573975787802683
133,training,0.008345623,0.045030681416392326,0.08573975787802683
134,training,0.0029912684,0.06849700678139925,0.08573975787802683
135,training,0.0042096195,0.034303261898458004,0.08573975787802683
136,training,0.001807091,0.009200286120176312,0.08573975787802683
137,training,0.0030940017,0.01485015079379081,0.08331676897738534
138,training,0.0016352176,0.05272994749248028,0.08331676897738534
139,training,0.0059288647,0.06662102788686752,0.08331676897738534
140,training,0.0017112758,0.005241872742772102,0.08331676897738534
141,training,0.0052364813,0.04111645836383104,0.08331676897738534
142,training,0.006985958,0.03370827995240688,0.08331676897738534
143,training,0.0044827033,0.1273597776889801,0.05541509998687468
144,training,0.0022613038,0.10892702266573906,0.05541509998687468
145,training,0.0017111942,0.13250034302473068,0.05541509998687468
146,training,0.003267844,0.07308872416615486,0.05541509998687468
147,training,0.0022831326,0.0716016609221697,0.05541509998687468
148,training,0.0024677953,0.10388560546562074,0.05541509998687468
149,training,0.00356292,0.15459390729665756,0.026394056745539417
150,training,0.0021961913,0.15865884721279144,0.026394056745539417
151,training,0.0057903356,0.17689000070095062,0.026394056745539417
152,training,0.0012275354,0.12297358736395836,0.026394056745539417
153,training,0.0002715137,0.08241777122020721,0.026394056745539417
154,training,0.0030928575,0.12329777702689171,0.026394056745539417
155,training,0.0012131808,0.13910938799381256,0.019874383476584906
156,training,0.00069223536,0.0930430218577385,0.019874383476584906
157,training,0.0018051522,0.14600184746086597,0.019874383476584906
158,training,0.002984937,0.10378178581595421,0.019874383476584906
159,training,0.0027872764,0.06770817935466766,0.019874383476584906
160,training,0.010291406,0.07475733757019043,0.019874383476584906
161,training,0.0012447465,0.06479759514331815,0.05753869874131073
162,training,0.004205036,0.07739417254924777,0.05753869874131073
163,training,0.0060246424,0.12822929862886667,0.05753869874131073
164,training,0.0019999037,0.15095773711800575,0.05753869874131073
165,training,0.002722037,0.1352691720239818,0.05753869874131073
166,training,0.00282034,0.09557602927088737,0.05753869874131073
167,training,0.008463785,0.13628681935369968,0.07541262290112818
168,training,0.0030566454,0.13937918585725126,0.07541262290112818
169,training,0.0035992935,0.1563646225258708,0.07541262290112818
170,training,0.004516815,0.14549828693270683,0.07541262290112818
171,training,0.006003631,0.1565241862554103,0.07541262290112818
172,training,0.003175432,0.1633792973589152,0.07541262290112818
173,training,0.0038603044,0.1588548561558127,0.09550937275607616
174,training,0.0049855276,0.15258805267512796,0.09550937275607616
175,training,0.0041864617,0.15250195562839508,0.09550937275607616
176,training,0.007111118,0.05810318142175673,0.09550937275607616
177,training,0.007556795,0.04898199066519736,0.09550937275607616
178,training,0.0044799475,0.06958826258778571,0.09550937275607616
179,training,0.009107194,0.08088599634356798,0.11046111948695168
180,training,0.0072545935,0.027549434453248978,0.11046111948695168
181,training,0.0028965054,0.010316003113985062,0.11046111948695168
182,training,0.0021241917,0.08106508851051333,0.11046111948695168
183,training,0.005301742,0.09764181263744831,0.11046111948695168
184,training,0.0009809941,0.10346901789307593,0.11046111948695168
185,training,0.001222586,0.06103571504354478,0.1119183459682185
186,training,0.0038023775,0.010881667956709862,0.1119183459682185
187,training,0.012841396,0.03108254075050354,0.1119183459682185
188,training,0.0047427067,0.019237467087805275,0.1119183459682185
189,training,0.0033194814,0.020230824127793312,0.1119183459682185
190,training,0.003349622,0.017670445144176483,0.1119183459682185
191,training,0.0052591995,0.06930131185799837,0.08020249287301211
192,training,0.0034741652,0.15230746939778328,0.08020249287301211
193,training,0.0032922414,0.14957280084490776,0.08020249287301211
194,training,0.0031726595,0.061796944588422775,0.08020249287301211
195,training,0.01179174,0.0475437231361866,0.08020249287301211
196,training,0.0017249135,0.05664401501417161,0.08020249287301211
197,training,0.0050592776,0.07170206308364868,0.04793095402136619
198,training,0.0022738932,0.06638308428227901,0.04793095402136619
199,training,0.005436871,0.03998940531164408,0.04793095402136619
200,training,0.0010630178,0.04598919581621885,0.04793095402136619
201,training,0.0011921766,0.05809126794338226,0.04793095402136619
202,training,0.004779188,0.030338250100612633,0.04793095402136619
203,training,0.0044044093,0.025280453264713287,0.028794599392717224
204,training,0.0056364755,0.076699985191226,0.028794599392717224
205,training,0.0025609015,0.06019467487931251,0.028794599392717224
206,training,0.002607443,0.03530228417366743,0.028794599392717224
207,training,0.0031264215,0.057112292386591434,0.028794599392717224
208,training,0.002717398,0.047975634690374136,0.028794599392717224
209,training,0.0014464679,0.06300919409841299,0.008348871905141678
210,training,0.0014913866,0.047309599816799164,0.008348871905141678
211,training,0.0048647025,0.012364361435174942,0.008348871905141678
212,training,0.011393536,0.053617088124156,0.008348871905141678
213,training,0.0020798873,0.07246974715963006,0.008348871905141678
214,training,0.0005705821,0.08462002314627172,0.008348871905141678
215,training,0.0014528536,0.06542933965101838,0.009600652687366595
216,training,0.0014262025,0.0537449363619089,0.009600652687366595
217,training,0.00276177,0.05379427783191204,0.009600652687366595
218,training,0.0026265723,0.05027217045426369,0.009600652687366595
219,training,0.004136992,0.08371834363788366,0.009600652687366595
220,training,0.0050612953,0.04915824346244335,0.009600652687366595
221,training,0.0009710063,0.02633354440331459,0.02353040889392869
222,training,0.0025064594,0.05334574915468694,0.02353040889392869
223,training,0.003178655,0.09880691021680832,0.02353040889392869
224,training,0.0034206058,0.08063667966052888,0.02353040889392869
225,training,0.002310966,0.07818734273314476,0.02353040889392869
226,training,0.005945488,0.07795904856175184,0.035317213773519984
227,training,0.003938563,0.06354991346597672,0.035317213773519984
228,training,0.0017521792,0.05261842906475066,0.035317213773519984
229,training,0.004123517,0.061755554750561714,0.035317213773519984
230,training,0.0022487715,0.060189541429281235,0.035317213773519984
231,training,0.0031926914,0.05091160535812378,0.035317213773519984
232,training,0.0024220594,0.0811303392983973,0.05828908977477157
233,training,0.0032216585,0.08471115306019783,0.05828908977477157
234,training,0.001915552,0.0653683403506875,0.05828908977477157
235,training,0.005734365,0.06416215095669033,0.05828908977477157
236,training,0.0041250414,0.10376125574111938,0.05828908977477157
237,training,0.0016782228,0.10158854722976686,0.05828908977477157
238,training,0.0025278986,0.09323518536984922,0.05844914231680409
239,training,0.00087743107,0.12927189469337463,0.05844914231680409
240,training,0.0014253267,0.08520066039636731,0.05844914231680409
241,training,0.004953697,0.11343492940068245,0.05844914231680409
242,training,0.0042924723,0.1320498213171959,0.05844914231680409
243,training,0.0007092659,0.14442593045532703,0.06186478666535001
244,training,0.0055409954,0.1401935270987451,0.06186478666535001
245,training,0.0041187205,0.13686116691678762,0.06186478666535001
246,training,0.0040983884,0.12442368082702163,0.06186478666535001
247,training,0.0023081463,0.10602400079369545,0.06186478666535001
248,training,0.005783279,0.10803807526826859,0.06186478666535001
249,training,0.0009019923,0.12797818332910538,0.030255279717887308
250,training,0.0040964875,0.09020025515928864,0.030255279717887308
251,training,0.004951896,0.15559176728129387,0.030255279717887308
252,training,0.0009047752,0.14936085790395737,0.030255279717887308
253,training,0.007224918,0.1539218928664923,0.030255279717887308
254,training,0.0024873486,0.17344046384096146,0.030255279717887308
255,training,0.004956406,0.15226057171821594,0.04073872573999968
256,training,0.0033706443,0.15558306453749537,0.04073872573999968
257,training,0.0023948732,0.12039715424180031,0.04073872573999968
258,training,0.0016325071,0.07083741948008537,0.04073872573999968
259,training,0.005661145,0.13294951058924198,0.04073872573999968
260,training,0.0032562418,0.0655135028064251,0.04073872573999968
261,training,0.005087076,0.10897668451070788,0.06333140113177686
262,training,0.0026326643,0.11454395949840546,0.06333140113177686
263,training,0.0032620816,0.10829880274832247,0.06333140113177686
264,training,0.004936944,0.2135913074016571,0.06333140113177686
265,training,0.008973592,0.13367659598588943,0.06333140113177686
266,training,0.004724483,0.11847401410341263,0.07185696460972102
267,training,0.0029159964,0.10572632402181625,0.07185696460972102
268,training,0.0048507,0.02543129026889801,0.07185696460972102
269,training,0.010954545,0.08492800593376157,0.07185696460972102
270,training,0.008533395,0.07382229343056679,0.07185696460972102
271,training,0.0048336773,0.1513929795473814,0.0707512894981064
272,training,0.0018737452,0.1647985763847828,0.0707512894981064
273,training,0.008367541,0.12892044335603714,0.0707512894981064
274,training,0.0014726325,0.07862492650747299,0.0707512894981064
275,training,0.0016315834,0.043375503271818175,0.0707512894981064
276,training,0.0016942271,0.07398075610399249,0.0707512894981064
277,training,0.0021747684,0.05480346083641052,0.06397852687204081
278,training,0.0023990998,0.015260756015777574,0.06397852687204081
279,training,0.0031844566,0.08788648247718811,0.06397852687204081
280,training,0.001713051,0.04390048375353218,0.06397852687204081
281,training,0.0020151334,0.05560400709509851,0.06397852687204081
282,training,0.003676191,0.02657656092196703,0.06397852687204081
283,training,0.0018449802,0.015937474090605974,0.05737501710533377
284,training,0.004139349,0.003060299903154375,0.05737501710533377
285,training,0.0026113342,0.003501898143440485,0.05737501710533377
286,training,0.0012552973,0.02788407076150179,0.05737501710533377
287,training,0.0022313497,0.01717127114534378,0.05737501710533377
288,training,0.0016775505,0.01985553279519081,0.05287466372953724
289,training,0.0033419533,0.018946960102766752,0.05287466372953724
290,training,0.0013822411,0.04990627057850361,0.05287466372953724
291,training,0.0043877494,0.08967718668282032,0.05287466372953724
292,training,0.002710572,0.056686872616410255,0.05287466372953724
293,training,0.0065198313,0.008121250197291374,0.05287466372953724
294,training,0.0017303989,0.055098210927098996,0.04404063143501467
295,training,0.0032038,0.0672917328774929,0.04404063143501467
296,training,0.0019415603,0.0629910808056593,0.04404063143501467
297,training,0.0011506554,0.03942986577749252,0.04404063143501467
298,training,0.005524218,0.049082485958933844,0.04404063143501467
299,training,0.003974524,0.020314149558544173,0.04404063143501467
300,training,0.000439763,0.06673740968108177,0.014984261297692519
301,training,0.0018923876,0.12828470021486282,0.014984261297692519
302,training,0.0004940228,0.08197950571775435,0.014984261297692519
303,training,0.0014649441,0.03830937296152115,0.014984261297692519
304,training,0.0013155598,0.06815872713923454,0.014984261297692519
305,training,0.0017855113,0.11845176434144378,0.014984261297692519
306,training,0.0017139964,0.1319358628243208,0.017567678955488126
307,training,0.0023614557,0.1539088636636734,0.017567678955488126
308,training,0.00167179,0.14991350285708904,0.017567678955488126
309,training,0.0045595528,0.13911499455571177,0.017567678955488126
310,training,0.002757552,0.12932613864541054,0.017567678955488126
311,training,0.004210594,0.11021050065755841,0.017567678955488126
312,training,0.0028332977,0.12228061631321907,0.05900397215919895
313,training,0.0005207857,0.15225751511752605,0.05900397215919895
314,training,0.0056853686,0.13770752958953378,0.05900397215919895
315,training,0.0030661563,0.12695413455367088,0.05900397215919895
316,training,0.0015141852,0.08064298331737518,0.05900397215919895
317,training,0.00077608717,0.09133483469486237,0.05900397215919895
318,training,0.0012784677,0.09987671300768852,0.08815225771193377
319,training,0.004999152,0.07674883306026456,0.08815225771193377
320,training,0.0044772904,0.05318596959114075,0.08815225771193377
321,training,0.0014623079,0.10283871740102768,0.08815225771193377
322,training,0.0031952881,0.04599853605031967,0.08815225771193377
323,training,0.0016640682,0.026898622512817383,0.08815225771193377
324,training,0.00263067,0.03879736736416817,0.09245510442326657
325,training,0.0022215934,0.11666842550039291,0.09245510442326657
326,training,0.0022821748,0.0602833330631256,0.09245510442326657
327,training,0.0009235209,0.08103197813034058,0.09245510442326657
328,training,0.0017260608,0.10394603759050369,0.09245510442326657
329,training,0.0039504794,0.09728064760565756,0.09245510442326657
330,training,0.0026797566,0.05766883958131075,0.07883266219143566
331,training,0.001787336,0.11725814640522003,0.07883266219143566
332,training,0.002986717,0.13706307858228683,0.07883266219143566
333,training,0.0019879942,0.12104856595396996,0.07883266219143566
334,training,0.0016748336,0.06771021522581577,0.07883266219143566
335,training,0.0038272913,0.0364617258310318,0.07869894194581792
336,training,0.002288442,0.10759716480970381,0.07869894194581792
337,training,0.003565863,0.10361075028777122,0.07869894194581792
338,training,0.0014593677,0.08660200983285904,0.07869894194581792
339,training,0.0021293242,0.10525565780699254,0.07869894194581792
340,training,0.005285636,0.0684148482978344,0.07869894194581792
341,training,0.0019255016,0.06449208222329617,0.08750579934130243
342,training,0.0013481207,0.13770743645727634,0.08750579934130243
343,training,0.0011122744,0.11980927735567093,0.08750579934130243
344,training,0.001066123,0.09743013046681881,0.08750579934130243
345,training,0.0034054162,0.07016390934586525,0.08750579934130243
346,training,0.0019275238,0.08925605192780495,0.09121352296267679
347,training,0.0038379468,0.10128107573837042,0.09121352296267679
348,training,0.00028553186,0.118561752140522,0.09121352296267679
349,training,0.00063689693,0.10992101021111012,0.09121352296267679
350,training,0.0076671396,0.07901840656995773,0.09121352296267679
351,training,0.00107093,0.0389874130487442,0.09121352296267679
352,training,0.0047557284,0.0627920851111412,0.09089927293407286
353,training,0.003098824,0.06199617683887482,0.09089927293407286
354,training,0.00043824624,0.03878328949213029,0.09089927293407286
355,training,0.0034910622,0.06634093821048735,0.09089927293407286
356,training,0.002033448,0.01935136690735817,0.09089927293407286
357,training,0.0014352897,0.008573334664106355,0.09089927293407286
358,training,0.0028845784,0.017888668924570084,0.07897345550634195
359,training,0.0049017747,0.009966500103473667,0.07897345550634195
360,training,0.00464593,0.02141441684216261,0.07897345550634195
361,training,0.0008490727,0.034064426727127284,0.07897345550634195
362,training,0.00094551436,0.08722601644694805,0.07897345550634195
363,training,0.0027601968,0.06247400864958763,0.050772279511908006
364,training,0.0030915567,0.004311166703701019,0.050772279511908006
365,training,0.0007985702,0.0003975704312324524,0.050772279511908006
366,training,0.0053172936,0.023992963135242462,0.050772279511908006
367,training,0.0017644602,0.024586249142885215,0.050772279511908006
368,training,0.0013318062,0.07224593684077263,0.050772279511908006
369,training,0.0008167931,0.027044063434004784,0.050772279511908006
370,training,0.0002152945,0.000539921224117279,0.02342838445779746
371,training,0.0028654297,0.07429761067032814,0.02342838445779746
372,training,0.00063754007,0.06489468924701214,0.02342838445779746
373,training,0.005512078,0.04404199123382567,0.02342838445779746
374,training,0.001257801,0.004972513765096664,0.02342838445779746
375,training,0.0007817327,0.06222544610500337,0.02342838445779746
376,training,0.0015314838,0.07934710383415222,0.008115642455347585
377,training,0.002058599,0.05452824942767621,0.008115642455347585
378,training,0.0012561645,0.07029691897332668,0.008115642455347585
379,training,0.0022890691,0.0925552286207676,0.008115642455347585
380,training,0.00078254903,0.08717846870422362,0.008115642455347585
381,training,0.002803254,0.0472663976252079,0.008115642455347585
382,training,0.001078002,0.06973252352327108,0.01359312043374891
383,training,0.0015622574,0.09899343829602002,0.01359312043374891
384,training,0.0028309978,0.05210035294294357,0.01359312043374891
385,training,0.005423652,0.028355587273836136,0.01359312043374891
386,training,0.00469859,0.06962703540921211,0.01359312043374891
387,training,0.0011249288,0.04715199023485183,0.01359312043374891
388,training,0.0019462918,0.0585126131772995,0.025408869440325478
389,training,0.00041774844,0.026021532714366927,0.025408869440325478
390,training,0.0029632559,0.018536828458309174,0.025408869440325478
391,training,0.0017445504,0.08446680847555398,0.025408869440325478
392,training,0.0026529767,0.07853527367115021,0.025408869440325478
393,training,0.00044525915,0.09313054382801056,0.025408869440325478
394,training,0.0006598466,0.07165774796158075,0.03975939193137081
395,training,0.0026482882,0.04677577689290047,0.03975939193137081
396,training,0.000979386,0.06085986457765101,0.03975939193137081
397,training,0.0009977364,0.0798495328053832,0.03975939193137081
398,training,0.0011309651,0.027669139206409468,0.03975939193137081
399,training,0.0014915696,0.004410602152347579,0.03975939193137081
400,training,0.0036479118,0.017138354480266585,0.045446570756179513
401,training,0.0020011389,0.039662979543209076,0.045446570756179513
402,training,0.0042694705,0.015579938888549798,0.045446570756179513
403,training,0.001785452,0.0360214440152049,0.045446570756179513
404,training,0.0013648607,0.03269173111766577,0.045446570756179513
405,training,0.0014200213,0.030400325544178486,0.03279134587988913
406,training,0.002477539,0.03633713722229004,0.03279134587988913
407,training,0.0010634294,0.058121874928474426,0.03279134587988913
408,training,0.001697143,0.10403789207339287,0.03279134587988913
409,training,0.0010417735,0.069256741553545,0.03279134587988913
410,training,0.0028121674,0.028867164626717567,0.03279134587988913
411,training,0.0060515516,0.004872854799032211,0.02975633088972501
412,training,0.0018620571,0.026814881712198257,0.02975633088972501
413,training,0.0026502933,0.04639798030257226,0.02975633088972501
414,training,0.00211916,0.0270582102239132,0.02975633088972501
415,training,0.0054076123,0.004396878182888031,0.02975633088972501
416,training,0.0014733073,0.04089695215225219,0.02975633088972501
417,training,0.00045167867,0.008944172412157059,0.020232203269408163
418,training,0.0011139209,0.012926358729600906,0.020232203269408163
419,training,0.0013499464,0.031315770000219345,0.020232203269408163
420,training,0.0020319454,0.0068668825551867485,0.020232203269408163
421,training,0.0031060844,0.008050201460719109,0.020232203269408163
422,training,0.0016223359,0.022465652786195278,0.020232203269408163
423,training,0.00042125743,0.07121033780276775,0.012318417180791033
424,training,0.002536379,0.05055916868150234,0.012318417180791033
425,training,0.0016845526,0.02642938867211342,0.012318417180791033
426,training,0.0023890121,0.0041122399270534515,0.012318417180791033
427,training,0.002286526,0.08336775004863739,0.012318417180791033
428,training,0.003598754,0.06554738618433475,0.012318417180791033
429,training,0.0034829301,0.013699997216463089,0.00362927879734544
430,training,0.0015137648,0.019219785928726196,0.00362927879734544
431,training,0.0020026301,0.039455901831388474,0.00362927879734544
432,training,0.004388475,0.039119431748986244,0.00362927879734544
433,training,0.0012793966,0.03325455076992512,0.00362927879734544
434,training,0.0008110083,0.013305535539984703,0.00362927879734544
435,training,0.00043934517,0.002295925747603178,0.007382173331086724
436,training,0.0025629613,0.0261407969519496,0.007382173331086724
437,training,0.002032945,0.011051787994801998,0.007382173331086724
438,training,0.0010215843,0.03384198248386383,0.007382173331086724
439,training,0.0022763752,0.05762329883873463,0.007382173331086724
440,training,0.0011979529,0.01695554330945015,0.006485993069568888
441,training,0.0014933822,0.012419830076396465,0.006485993069568888
442,training,0.0009060517,0.017414476722478863,0.006485993069568888
443,training,0.0019043045,0.04549003206193447,0.006485993069568888
