step,mode,loss,angle_error(rad),distance(m)
1,training,0.011419196,0.09831892605870962,0.0
2,training,0.00966693,0.08757442049682139,0.0
3,training,0.01065601,0.11260560899972916,0.0
4,training,0.008812676,0.09262162446975711,0.0
5,training,0.00623079,0.07593005523085594,0.0
6,training,0.0050061774,0.05830997973680496,0.0
7,training,0.0032020004,0.030177205801010132,0.0
8,training,0.0021419749,0.06071072816848755,0.0
9,training,0.0044485084,0.1524171456694603,0.028029055415343746
10,training,0.00492849,0.09681825339794156,0.028029055415343746
11,training,0.0018920455,0.04613703489303589,0.028029055415343746
12,training,0.0035732337,0.021732926368713407,0.028029055415343746
13,training,0.003571029,0.06298285722732544,0.028029055415343746
14,training,0.0024976137,0.00933006405830386,0.028029055415343746
15,training,0.0031996123,0.004097804427146912,0.07905429465113768
16,training,0.00981195,0.24783669039607048,0.07905429465113768
17,training,0.03722432,0.23636288940906525,0.07905429465113768
18,training,0.011303893,0.2604266032576561,0.07905429465113768
19,training,0.04160526,0.2830841541290283,0.07905429465113768
20,training,0.04142287,0.3013136684894562,0.07905429465113768
21,training,0.0476286,0.2788221463561058,0.034672067441988405
22,training,0.025969543,0.3031955510377884,0.034672067441988405
23,training,0.021797009,0.28205206990242004,0.034672067441988405
24,training,0.03955602,0.3055463209748268,0.034672067441988405
25,training,0.047651645,0.2907920554280281,0.034672067441988405
26,training,0.03466232,0.29525019600987434,0.034672067441988405
27,training,0.036591794,0.27889425307512283,0.009819098895665743
28,training,0.022002975,0.2972520459443331,0.009819098895665743
29,training,0.024751429,0.28125597443431616,0.009819098895665743
30,training,0.05161045,0.2974438322708011,0.009819098895665743
31,training,0.039297454,0.29870348796248436,0.009819098895665743
32,training,0.05136526,0.298731179907918,0.009819098895665743
33,training,0.026552213,0.2623113803565502,0.03142394918410529
34,training,0.039300732,0.26578873768448835,0.03142394918410529
35,training,0.027694026,0.27456268668174744,0.03142394918410529
36,training,0.03357821,0.21586710214614868,0.03142394918410529
37,training,0.0482367,0.22061683982610703,0.03142394918410529
38,training,0.03783646,0.2326456382870674,0.03142394918410529
39,training,0.023905847,0.16113031655550003,0.05501489129362995
40,training,0.026397891,0.1659168824553489,0.05501489129362995
41,training,0.021436168,0.17063214629888535,0.05501489129362995
42,training,0.05916568,0.1513950675725937,0.05501489129362995
43,training,0.02253872,0.1540142446756363,0.05501489129362995
44,training,0.020755721,0.09937834739685056,0.08405720161707811
45,training,0.046780273,0.07620361447334292,0.08405720161707811
46,training,0.037054006,0.07029683887958527,0.08405720161707811
47,training,0.025760075,0.05947031080722809,0.08405720161707811
48,training,0.06165873,0.044557303190231295,0.08405720161707811
49,training,0.031697445,0.03582324087619779,0.08405720161707811
50,training,0.01886059,0.04430523514747617,0.0767139358840982
51,training,0.02591586,0.02097514271736145,0.0767139358840982
52,training,0.02876033,0.02846018224954605,0.0767139358840982
53,training,0.03732833,0.01809071749448779,0.0767139358840982
54,training,0.026600461,0.021008707582950592,0.0767139358840982
55,training,0.04432202,0.03771356865763664,0.0767139358840982
56,training,0.041115377,0.038194533437490456,0.05163752625472587
57,training,0.031552617,0.09367336053401232,0.05163752625472587
58,training,0.01751969,0.09062608890235424,0.05163752625472587
59,training,0.03401532,0.05748053453862667,0.05163752625472587
60,training,0.038201015,0.04107256233692169,0.05163752625472587
61,training,0.030631306,0.04771805740892887,0.01280820003858742
62,training,0.01938891,0.06064211390912533,0.01280820003858742
63,training,0.03952981,0.0588552039116621,0.01280820003858742
64,training,0.018255109,0.07064777985215187,0.01280820003858742
65,training,0.02339619,0.003065960481762886,0.01280820003858742
66,training,0.028846454,0.015398042276501656,0.04727216335219523
67,training,0.013692991,0.02936341008171439,0.04727216335219523
68,training,0.013942306,0.048901863396167755,0.04727216335219523
69,training,0.02604726,0.06647215969860554,0.04727216335219523
70,training,0.024445537,0.04469052888453007,0.04727216335219523
71,training,0.0069950083,0.03249423764646053,0.04727216335219523
72,training,0.01606137,0.02623788733035326,0.09626920151465283
73,training,0.009955926,0.03336910158395768,0.09626920151465283
74,training,0.021116512,0.0038654357194900443,0.09626920151465283
75,training,0.013411064,0.005792539566755295,0.09626920151465283
76,training,0.020874228,0.0008367337286472321,0.09626920151465283
77,training,0.020028396,0.0403902530670166,0.09626920151465283
78,training,0.024506418,0.036510102450847626,0.12999401063177998
79,training,0.0090281535,0.0038752127438783646,0.12999401063177998
80,training,0.013817768,0.01418326236307621,0.12999401063177998
81,training,0.017156506,0.04609104059636593,0.12999401063177998
82,training,0.016398698,0.04835927486419678,0.12999401063177998
83,training,0.013404721,0.06120081897825003,0.12999401063177998
84,training,0.01729397,0.05393696762621403,0.0872697901733703
85,training,0.0053337333,0.0036163125187158585,0.0872697901733703
86,training,0.008270668,0.03542060777544975,0.0872697901733703
87,training,0.0056836237,0.030756575986742973,0.0872697901733703
88,training,0.012307845,0.005265645217150449,0.0872697901733703
89,training,0.002819872,0.03838150994852185,0.04872144300466066
90,training,0.00345687,0.038719989359378815,0.04872144300466066
91,training,0.0022536025,0.025714579969644547,0.04872144300466066
92,training,0.00290753,0.0252513256855309,0.04872144300466066
93,training,0.0022264207,0.03350847586989403,0.04872144300466066
94,training,0.003135205,0.049328718800097704,0.04872144300466066
95,training,0.0010395239,0.04044801043346524,0.02552008301414831
96,training,0.0118504,0.06806555390357971,0.02552008301414831
97,training,0.0024136053,0.051139429211616516,0.02552008301414831
98,training,0.006973349,0.005147287622094154,0.02552008301414831
99,training,0.003490101,0.04644639976322651,0.02552008301414831
100,training,0.0011146126,0.0778975710272789,0.02092727188573599
101,training,0.006100117,0.07783951982855797,0.02092727188573599
102,training,0.008249381,0.07265576347708702,0.02092727188573599
103,training,0.0032631983,0.052451114635914564,0.02092727188573599
104,training,0.005374072,0.09604668244719505,0.02092727188573599
105,training,0.0033421856,0.10580195486545563,0.022464115529197602
106,training,0.0029732028,0.10358183365315199,0.022464115529197602
107,training,0.0029964508,0.0732451304793358,0.022464115529197602
108,training,0.0016024031,0.0861847847700119,0.022464115529197602
109,training,0.0010010996,0.10868896543979645,0.022464115529197602
110,training,0.0015306561,0.11738067353144288,0.022464115529197602
111,training,0.002552941,0.08574896678328513,0.045468924022379696
112,training,0.00094970345,0.10388492792844771,0.045468924022379696
113,training,0.002938121,0.14998999703675508,0.045468924022379696
114,training,0.003565332,0.05613256990909578,0.045468924022379696
115,training,0.00080650666,0.047284796833992004,0.045468924022379696
116,training,0.0052409186,0.06155010126531124,0.045468924022379696
117,training,0.0055720387,0.07629720261320472,0.06711730187395597
118,training,0.0012674998,0.16553230956196782,0.06711730187395597
119,training,0.004196228,0.16409093514084813,0.06711730187395597
120,training,0.003977439,0.17827915586531165,0.06711730187395597
121,training,0.0037579862,0.17787750251591206,0.06711730187395597
122,training,0.005540104,0.18982144678011534,0.06711730187395597
123,training,0.000966542,0.19922961108386517,0.0749988543933046
124,training,0.0017775903,0.2084834910929203,0.0749988543933046
125,training,0.0072506606,0.08702712319791316,0.0749988543933046
126,training,0.010332548,0.06772236153483391,0.0749988543933046
127,training,0.0078083677,0.03215432167053223,0.0749988543933046
128,training,0.0025012607,0.03014747053384781,0.0749988543933046
129,training,0.0009804654,0.012693770229816437,0.0988723532901998
130,training,0.005260934,0.005036413669586168,0.0988723532901998
131,training,0.0072339,0.12407767400145533,0.0988723532901998
132,training,0.005816616,0.15988380089402202,0.0988723532901998
133,training,0.0039010833,0.1259365975856781,0.0988723532901998
134,training,0.0034987123,0.14953111857175827,0.0988723532901998
135,training,0.0117587475,0.17445024847984317,0.09890996828827786
136,training,0.0011145332,0.1660344675183296,0.09890996828827786
137,training,0.004018676,0.1253725364804268,0.09890996828827786
138,training,0.0009313788,0.12074285373091698,0.09890996828827786
139,training,0.0039275517,0.1629343964159489,0.09890996828827786
140,training,0.0033556735,0.17215394601225853,0.09890996828827786
141,training,0.0030474674,0.13539154175668955,0.10572337354811626
142,training,0.006363521,0.10978598520159719,0.10572337354811626
143,training,0.0003851696,0.14388678036630154,0.10572337354811626
144,training,0.0009145148,0.16011884436011314,0.10572337354811626
145,training,0.0035984288,0.12953405641019344,0.10572337354811626
