step,mode,loss,angle_error(rad),distance(m),dataset(f),dataset(l),dataset(r)
74,training,0.015190605,0.020425360649824142,0.16547313846905157,39,26,26
75,training,0.015190605,0.019739929586648927,0.16547313846905157,39,26,26
76,training,0.015190605,0.015286870300769806,0.16547313846905157,39,26,26
77,training,0.015190605,0.01335235312581063,0.16547313846905157,39,26,26
78,training,0.015190605,0.07095785066485405,0.16547313846905157,39,26,26
79,training,0.020750904,0.016130197793245316,0.16547313846905157,40,27,27
80,training,0.020750904,0.06951900571584703,0.15096470940833587,40,27,27
81,training,0.021703033,0.012183129787445065,0.15096470940833587,41,28,28
82,training,0.021703033,0.07835604995489119,0.15096470940833587,41,28,28
83,training,0.01661232,0.09094461612403391,0.15096470940833587,42,29,29
84,training,0.022498932,0.099535696208477,0.15096470940833587,43,30,30
85,training,0.018167773,0.09615124575793743,0.15096470940833587,44,31,31
86,training,0.016434655,0.1202731654047966,0.10647082150065862,45,32,32
87,training,0.01224654,0.12533722072839737,0.10647082150065862,46,33,33
88,training,0.02367405,0.12574592605233192,0.10647082150065862,47,34,34
89,training,0.017185949,0.12275553680956364,0.10647082150065862,48,35,35
90,training,0.013748665,0.12463528849184513,0.10647082150065862,49,36,36
91,training,0.009108247,0.1149515938013792,0.07628904145216472,50,37,37
92,training,0.015749006,0.0956577006727457,0.07628904145216472,51,38,38
93,training,0.0202273,0.12295389361679554,0.07628904145216472,52,39,39
94,training,0.011042114,0.12943949084728956,0.07628904145216472,53,40,40
95,training,0.015855322,0.13223733194172382,0.07628904145216472,54,41,41
96,training,0.0128823565,0.11137240566313267,0.051498397502650145,55,42,42
97,training,0.00631707,0.11309872567653656,0.051498397502650145,56,43,43
98,training,0.010118002,0.08065176568925381,0.051498397502650145,57,44,44
99,training,0.020547125,0.08595238532871008,0.051498397502650145,58,45,45
100,training,0.0076986915,0.1062370939180255,0.051498397502650145,59,46,46
101,training,0.011237022,0.1073928652331233,0.031008974124822883,60,47,47
102,training,0.013971798,0.09034573566168547,0.031008974124822883,61,48,48
103,training,0.009874658,0.011693892069160938,0.031008974124822883,62,49,49
104,training,0.009874658,0.004688891116529703,0.031008974124822883,62,49,49
105,training,0.009874658,0.04069935437291861,0.031008974124822883,62,49,49
106,training,0.009874658,0.041938147507607944,0.031008974124822883,62,49,49
107,training,0.009874658,0.024419362656772137,0.014943387983834763,62,49,49
108,training,0.009874658,0.009018839336931705,0.014943387983834763,62,49,49
109,training,0.009874658,0.02539550792425871,0.014943387983834763,62,49,49
110,training,0.009874658,0.03183835279196501,0.014943387983834763,62,49,49
111,training,0.009874658,0.025455678813159466,0.014943387983834763,62,49,49
112,training,0.009874658,0.025101105682551868,0.002239577016391449,62,49,49
113,training,0.009874658,0.008152947761118409,0.002239577016391449,62,49,49
114,training,0.009874658,0.009346784092485908,0.002239577016391449,62,49,49
115,training,0.009874658,0.004721076227724552,0.002239577016391449,62,49,49
116,training,0.009874658,0.009683550335466858,0.002239577016391449,62,49,49
117,training,0.009874658,0.009254247881472107,0.002239577016391449,62,49,49
118,training,0.009874658,0.011693892069160938,0.015664775077055902,62,49,49
119,training,0.009874658,0.006727124098688364,0.015664775077055902,62,49,49
120,training,0.009874658,0.009629244450479746,0.015664775077055902,62,49,49
121,training,0.009874658,0.006187702063471079,0.015664775077055902,62,49,49
122,training,0.009874658,0.011693892069160938,0.015664775077055902,62,49,49
123,training,0.009874658,0.04496730957180262,0.015664775077055902,62,49,49
124,training,0.009874658,0.022717049345374107,0.01053674400064336,62,49,49
125,training,0.009874658,0.026238461956381798,0.01053674400064336,62,49,49
126,training,0.009874658,0.03866414818912744,0.01053674400064336,62,49,49
127,training,0.009874658,0.0389677444472909,0.01053674400064336,62,49,49
128,training,0.009874658,0.045401171781122684,0.01053674400064336,62,49,49
129,training,0.009874658,0.05504457373172045,0.01053674400064336,62,49,49
130,training,0.013536972,0.07340472564101219,0.010741985959718276,63,50,50
131,training,0.01510997,0.025844869203865528,0.010741985959718276,64,51,51
132,training,0.01510997,0.03445262182503939,0.010741985959718276,64,51,51
133,training,0.01510997,0.048690647818148136,0.010741985959718276,64,51,51
134,training,0.01510997,0.05394831020385027,0.010741985959718276,64,51,51
135,training,0.0033733647,0.0796341998502612,0.010741985959718276,65,52,52
136,training,0.0035628853,0.07423972175456582,0.011349056426988075,66,53,53
137,training,0.010360122,0.09276639204472303,0.011349056426988075,67,54,54
138,training,0.006719709,0.13832342997193336,0.011349056426988075,68,55,55
139,training,0.0119941905,0.18898344784975052,0.011349056426988075,69,55,55
140,training,0.0050822427,0.16277074813842773,0.011349056426988075,70,56,56
141,training,0.011612615,0.17547179758548737,0.011349056426988075,71,57,57
142,training,0.005790834,0.1374928625300527,0.023665252419128598,72,57,57
143,training,0.0074886456,0.11852068547159433,0.023665252419128598,73,57,57
144,training,0.014615486,0.12073679082095623,0.023665252419128598,74,57,57
145,training,0.011128706,0.09869464859366414,0.023665252419128598,75,57,57
146,training,0.0036377031,0.1285791452974081,0.023665252419128598,76,57,57
147,training,0.007034759,0.11863970197737217,0.023665252419128598,77,57,57
148,training,0.0076067047,0.10430308058857918,0.05537627940230194,78,57,57
149,training,0.010944999,0.1591208535246551,0.05537627940230194,79,57,57
150,training,0.0039845724,0.16125499643385413,0.05537627940230194,80,57,57
151,training,0.00889624,0.1440537259913981,0.05537627940230194,81,57,57
152,training,0.0102201635,0.15338678378611806,0.05537627940230194,82,57,57
153,training,0.007870261,0.16323526762425897,0.05537627940230194,83,57,57
154,training,0.009988896,0.17267330549657342,0.08344439112372447,84,57,57
155,training,0.006457861,0.16443044506013393,0.08344439112372447,85,57,57
156,training,0.008169877,0.16072539240121841,0.08344439112372447,85,58,57
157,training,0.006851282,0.1296575665473938,0.08344439112372447,85,59,57
158,training,0.0076034893,0.06980322301387784,0.08344439112372447,86,59,57
159,training,0.007343583,0.07672629505395887,0.08344439112372447,87,59,57
160,training,0.007048701,0.06606090068817141,0.11822220666199484,88,59,57
161,training,0.013960167,0.00670510530471799,0.11822220666199484,89,59,57
162,training,0.013960167,0.03203488141298294,0.11822220666199484,89,59,57
163,training,0.013960167,0.0666315332055092,0.11822220666199484,89,59,57
164,training,0.011560337,0.042531274259090424,0.11822220666199484,90,60,58
165,training,0.011560337,0.04101654514670372,0.11822220666199484,90,60,58
166,training,0.011560337,0.0481000654399395,0.12377916570203477,90,60,58
167,training,0.011560337,0.0628019105643034,0.12377916570203477,90,60,58
168,training,0.0048806025,0.010344791691750288,0.12377916570203477,91,61,59
169,training,0.0048806025,0.012188694439828396,0.12377916570203477,91,61,59
170,training,0.0048806025,0.0180506925098598,0.12377916570203477,91,61,59
171,training,0.0048806025,0.006818203721195459,0.12377916570203477,91,61,59
172,training,0.0048806025,0.022760373074561357,0.10077569225662945,91,61,59
173,training,0.0048806025,0.02661739895120263,0.10077569225662945,91,61,59
174,training,0.0048806025,0.027934607584029436,0.10077569225662945,91,61,59
175,training,0.0048806025,0.010502865072339773,0.10077569225662945,91,61,59
176,training,0.0048806025,0.01702113961800933,0.10077569225662945,91,61,59
177,training,0.0048806025,0.006818203721195459,0.10077569225662945,91,61,59
178,training,0.0048806025,0.012046273797750473,0.07727832185120775,91,61,59
179,training,0.0048806025,0.006818203721195459,0.07727832185120775,91,61,59
180,training,0.0048806025,0.01965456875041127,0.07727832185120775,91,61,59
181,training,0.0048806025,0.023696747142821554,0.07727832185120775,91,61,59
182,training,0.0048806025,0.027619567234069105,0.07727832185120775,91,61,59
183,training,0.0048806025,0.02315547736361623,0.07727832185120775,91,61,59
184,training,0.0048806025,0.027748194057494402,0.05683895392249116,91,61,59
185,training,0.0048806025,0.023500502575188875,0.05683895392249116,91,61,59
186,training,0.0048806025,0.032072838861495256,0.05683895392249116,91,61,59
187,training,0.0048806025,0.06200774246826768,0.05683895392249116,91,61,59
188,training,0.008202974,0.09702543914318085,0.05683895392249116,92,62,60
189,training,0.004219629,0.10285032168030739,0.05683895392249116,93,63,61
190,training,0.00564825,0.09678151085972786,0.037974114781986354,94,64,62
191,training,0.0066120396,0.09748544171452522,0.037974114781986354,95,65,63
192,training,0.0017864553,0.09942223876714706,0.037974114781986354,96,66,64
193,training,0.0050642113,0.09698380529880524,0.037974114781986354,97,67,65
194,training,0.008842206,0.09458620473742484,0.037974114781986354,98,68,66
195,training,0.008016325,0.09040402062237263,0.037974114781986354,99,69,67
196,training,0.004087024,0.09306753752753139,0.007235648229104916,100,70,68
197,training,0.01011802,0.10051482368726283,0.007235648229104916,101,71,69
198,training,0.0038991638,0.09978441381826997,0.007235648229104916,102,71,69
199,training,0.0059640515,0.10025704838335515,0.007235648229104916,103,71,69
200,training,0.004677378,0.10742742009460926,0.007235648229104916,104,71,69
201,training,0.0050276853,0.09625044465065002,0.007235648229104916,105,71,69
202,training,0.0047973283,0.10470722243189813,0.03134026149847574,106,71,69
203,training,0.003070674,0.11860845738556236,0.03134026149847574,107,71,69
204,training,0.009136187,0.11458636214956643,0.03134026149847574,108,71,69
205,training,0.008521532,0.15780212916433814,0.03134026149847574,109,71,69
206,training,0.0042426307,0.14964549243450165,0.03134026149847574,110,71,69
207,training,0.0069636414,0.11531055718660355,0.03134026149847574,111,71,69
208,training,0.00420375,0.14130637794733047,0.04914085626072398,112,71,69
209,training,0.010269171,0.1315077543258667,0.04914085626072398,113,71,69
210,training,0.0051476797,0.13215362280607224,0.04914085626072398,114,71,69
211,training,0.0055636815,0.11083022132515907,0.04914085626072398,115,71,69
212,training,0.008903958,0.12264000996947286,0.04914085626072398,116,71,69
213,training,0.014241639,0.15018742578104138,0.04914085626072398,117,71,69
214,training,0.0027098507,0.15516521502286196,0.06269045812364825,118,71,69
215,training,0.012498826,0.15303450170904398,0.06269045812364825,119,71,69
216,training,0.0094116535,0.16253104858333245,0.06269045812364825,120,71,69
217,training,0.0060265586,0.14042416587471962,0.06269045812364825,121,71,69
218,training,0.007605262,0.14878996461629865,0.06269045812364825,122,71,69
219,training,0.003667589,0.14900869224220517,0.06269045812364825,123,71,69
220,training,0.008482829,0.14464069530367854,0.074467302148053,124,71,69
221,training,0.0055669583,0.1577642522752285,0.074467302148053,125,71,69
222,training,0.0052799517,0.15982985589653254,0.074467302148053,126,71,69
223,training,0.0027254315,0.1548835076391697,0.074467302148053,127,71,69
224,training,0.011627325,0.15922932559624314,0.074467302148053,128,71,69
225,training,0.0038596117,0.1539187105372548,0.074467302148053,129,71,69
226,training,0.007090894,0.1478997878730297,0.08135416044964029,130,71,69
227,training,0.0068631046,0.14949307590723038,0.08135416044964029,131,71,69
228,training,0.0021250977,0.15143651142716408,0.08135416044964029,132,71,69
229,training,0.011427681,0.14247619360685349,0.08135416044964029,133,71,69
230,training,0.00091395096,0.1661541094072163,0.08135416044964029,134,71,69
231,training,0.0011997496,0.1725568249821663,0.08135416044964029,135,71,69
232,training,0.006979002,0.16934770904481408,0.09567922911951415,136,71,69
233,training,0.005189416,0.07091947965091093,0.09567922911951415,137,72,70
234,training,0.003475139,0.13834140449762344,0.09567922911951415,138,72,70
235,training,0.0061719,0.06828472763299943,0.09567922911951415,139,72,70
236,training,0.0063366517,0.13221235573291776,0.09567922911951415,140,72,70
237,training,0.0042997845,0.08684803359210493,0.1102850767970586,141,72,70
238,training,0.0059556835,0.08707036497071385,0.1102850767970586,142,73,71
239,training,0.002221055,0.14162451028823853,0.1102850767970586,143,74,72
240,training,0.0056400704,0.21556642651557922,0.1102850767970586,144,74,72
241,training,0.016985448,0.22863983362913132,0.1102850767970586,145,75,73
242,training,0.0020861973,0.22366125881671906,0.10596042008088621,146,76,74
243,training,0.0059426185,0.1610644217580557,0.10596042008088621,147,77,75
244,training,0.016246786,0.11572313774377108,0.10596042008088621,148,78,76
245,training,0.00467291,0.09521319530904293,0.10596042008088621,149,79,77
246,training,0.0015016324,0.13525091856718063,0.10596042008088621,150,80,78
247,training,0.011023594,0.1498380284756422,0.10596042008088621,151,81,79
248,training,0.0061565125,0.125624168664217,0.07452566027986234,152,82,80
249,training,0.0050152023,0.1263918150216341,0.07452566027986234,153,83,81
250,training,0.006537959,0.11763070151209831,0.07452566027986234,154,84,82
251,training,0.006595155,0.1348621714860201,0.07452566027986234,155,85,83
252,training,0.0064280685,0.18007254414260387,0.07452566027986234,156,86,84
253,training,0.0043304455,0.12792532332241535,0.07452566027986234,157,87,85
254,training,0.00447644,0.0581499133259058,0.048843047784787805,158,88,86
255,training,0.006052616,0.012164166197180751,0.048843047784787805,159,89,87
256,training,0.006052616,0.009741013869643211,0.048843047784787805,159,89,87
257,training,0.006052616,0.025817708112299442,0.048843047784787805,159,89,87
258,training,0.006052616,0.015180578455328941,0.048843047784787805,159,89,87
259,training,0.006052616,0.03517099469900131,0.048843047784787805,159,89,87
260,training,0.006052616,0.03923733113333583,0.0303351363851683,159,89,87
261,training,0.006052616,0.0435970239341259,0.0303351363851683,159,89,87
262,training,0.006052616,0.04227976081892848,0.0303351363851683,159,89,87
263,training,0.006052616,0.03517099469900131,0.0303351363851683,159,89,87
264,training,0.006052616,0.05869281850755215,0.0303351363851683,159,89,87
265,training,0.007557523,0.04139252007007599,0.0303351363851683,160,90,88
266,training,0.007557523,0.026617279276251793,0.02743557758767116,160,90,88
267,training,0.007557523,0.023413728922605515,0.02743557758767116,160,90,88
268,training,0.007557523,0.04433306260034442,0.02743557758767116,160,90,88
269,training,0.007557523,0.0412229523062706,0.02743557758767116,160,90,88
270,training,0.007557523,0.04153808206319809,0.02743557758767116,160,90,88
271,training,0.007557523,0.04959902539849281,0.017917565098730867,160,90,88
272,training,0.007557523,0.05578647833317518,0.017917565098730867,160,90,88
273,training,0.005549348,0.06898810528218746,0.017917565098730867,161,91,89
274,training,0.0073981,0.07598957046866417,0.017917565098730867,162,92,90
275,training,0.0055255583,0.021620479645207524,0.017917565098730867,163,93,91
276,training,0.0055255583,0.012860872084274888,0.011569604071824287,163,93,91
277,training,0.0055255583,0.00716080772690475,0.011569604071824287,163,93,91
278,training,0.0055255583,0.02463947725482285,0.011569604071824287,163,93,91
279,training,0.0055255583,0.02319694054313004,0.011569604071824287,163,93,91
280,training,0.0055255583,0.023601313354447484,0.011569604071824287,163,93,91
281,training,0.0055255583,0.011251623975113034,0.011569604071824287,163,93,91
282,training,0.0055255583,0.023190488340333104,0.008205088403803554,163,93,91
283,training,0.0055255583,0.024560575606301427,0.008205088403803554,163,93,91
284,training,0.0055255583,0.02294667554087937,0.008205088403803554,163,93,91
285,training,0.0055255583,0.02344204974360764,0.008205088403803554,163,93,91
286,training,0.0055255583,0.02582939458079636,0.008205088403803554,163,93,91
287,training,0.0055255583,0.023005684139207006,0.008205088403803554,163,93,91
288,training,0.0055255583,0.03991513070650398,0.013714005877380867,163,93,91
289,training,0.0055255583,0.03815804538317025,0.013714005877380867,163,93,91
290,training,0.0055255583,0.03974841651506722,0.013714005877380867,163,93,91
291,training,0.0055255583,0.042392728151753545,0.013714005877380867,163,93,91
292,training,0.0055255583,0.05542377871461212,0.013714005877380867,163,93,91
293,training,0.0073822117,0.15980608016252518,0.013714005877380867,164,94,92
294,training,0.0022265934,0.13823682814836502,0.006691951012610054,165,95,93
295,training,0.005404817,0.023373186588287354,0.006691951012610054,166,96,94
296,training,0.005404817,0.05373768508434297,0.006691951012610054,166,96,94
297,training,0.005211685,0.03596533089876176,0.006691951012610054,167,96,94
298,training,0.005211685,0.026362590491771684,0.006691951012610054,167,96,94
299,training,0.005211685,0.012636356055736542,0.006691951012610054,167,96,94
300,training,0.005211685,0.005774073302745833,0.031309740975805876,167,96,94
301,training,0.005211685,0.010086718946695328,0.031309740975805876,167,96,94
302,training,0.005211685,0.025998681783676147,0.031309740975805876,167,96,94
303,training,0.005211685,0.041469451040029526,0.031309740975805876,167,96,94
304,training,0.005211685,0.060515752993524075,0.031309740975805876,167,96,94
305,training,0.0037341113,0.07023954961914569,0.031309740975805876,168,97,95
306,training,0.0024978362,0.09516571834683418,0.027979169537460078,169,98,96
307,training,0.0035547407,0.11308251321315765,0.027979169537460078,170,99,97
308,training,0.006240547,0.12041150778532028,0.027979169537460078,171,100,98
309,training,0.002478866,0.08021008223295212,0.027979169537460078,172,101,99
310,training,0.0013396692,0.001784987747669227,0.027979169537460078,173,102,100
311,training,0.0013396692,0.008929215371608734,0.03345415854654634,173,102,100
312,training,0.0013396692,0.01897976547479631,0.03345415854654634,173,102,100
313,training,0.0013396692,0.022588178515434265,0.03345415854654634,173,102,100
314,training,0.0013396692,0.007418174296617508,0.03345415854654634,173,102,100
315,training,0.0013396692,0.00884810462594033,0.03345415854654634,173,102,100
316,training,0.0013396692,0.008763525635004037,0.03345415854654634,173,102,100
317,training,0.0013396692,0.040331389755010605,0.041460099226560826,173,102,100
318,training,0.0013396692,0.040210094302892685,0.041460099226560826,173,102,100
319,training,0.0013396692,0.05698611470870674,0.041460099226560826,173,102,100
320,training,0.0024112572,0.019595814868807793,0.041460099226560826,174,103,101
321,training,0.0024112572,0.004755891859531396,0.041460099226560826,174,103,101
322,training,0.0024112572,0.0083549227565527,0.041460099226560826,174,103,101
323,training,0.0024112572,0.05996853671967983,0.034298512201899785,174,103,101
324,training,0.0018309591,0.06883307732641697,0.034298512201899785,175,104,102
325,training,0.013297654,0.04051021719351411,0.034298512201899785,176,105,103
326,training,0.013297654,0.049886053893715136,0.034298512201899785,176,105,103
327,training,0.013297654,0.04129507252946496,0.034298512201899785,176,105,103
328,training,0.013297654,0.042952986899763346,0.03774877276625559,176,105,103
329,training,0.013297654,0.007203574758023024,0.03774877276625559,176,105,103
330,training,0.013297654,0.007639000657945871,0.03774877276625559,176,105,103
331,training,0.013297654,0.006653483491390945,0.03774877276625559,176,105,103
332,training,0.013297654,0.007313634734600782,0.03774877276625559,176,105,103
333,training,0.013297654,0.0020666969940066338,0.03774877276625559,176,105,103
334,training,0.013297654,0.007308449130505325,0.010025323873434643,176,105,103
335,training,0.013297654,0.008785839658230545,0.010025323873434643,176,105,103
336,training,0.013297654,0.006800677161663771,0.010025323873434643,176,105,103
337,training,0.013297654,0.007397498469799757,0.010025323873434643,176,105,103
338,training,0.013297654,0.005652065854519606,0.010025323873434643,176,105,103
339,training,0.013297654,0.0074507989920675755,0.010025323873434643,176,105,103
340,training,0.013297654,0.007986273150891066,0.008309647997783007,176,105,103
341,training,0.013297654,0.007081593852490187,0.008309647997783007,176,105,103
342,training,0.013297654,0.007553305011242628,0.008309647997783007,176,105,103
343,training,0.013297654,0.00586548028513789,0.008309647997783007,176,105,103
344,training,0.013297654,0.007584194187074901,0.008309647997783007,176,105,103
345,training,0.013297654,0.007592316251248121,0.008309647997783007,176,105,103
346,training,0.013297654,6.212806329131213e-05,0.013141641959693437,176,105,103
347,training,0.013297654,0.004716935101896524,0.013141641959693437,176,105,103
348,training,0.013297654,0.004716935101896524,0.013141641959693437,176,105,103
349,training,0.013297654,0.004716935101896524,0.013141641959693437,176,105,103
350,training,0.013297654,0.004716935101896524,0.013141641959693437,176,105,103
351,training,0.013297654,0.003001566044986248,0.011846935179320468,176,105,103
352,training,0.013297654,0.004716935101896524,0.011846935179320468,176,105,103
353,training,0.013297654,0.004716935101896524,0.011846935179320468,176,105,103
354,training,0.013297654,0.004716935101896524,0.011846935179320468,176,105,103
355,training,0.013297654,0.004716935101896524,0.011846935179320468,176,105,103
356,training,0.013297654,0.004716935101896524,0.011036882397888073,176,105,103
357,training,0.013297654,0.004716935101896524,0.011036882397888073,176,105,103
358,training,0.013297654,0.004716935101896524,0.011036882397888073,176,105,103
359,training,0.013297654,0.004716935101896524,0.011036882397888073,176,105,103
360,training,0.013297654,0.004716935101896524,0.011036882397888073,176,105,103
361,training,0.013297654,0.004716935101896524,0.011036882397888073,176,105,103
362,training,0.013297654,0.004716935101896524,0.005035736867961019,176,105,103
363,training,0.013297654,0.024235779885202646,0.005035736867961019,176,105,103
364,training,0.013297654,0.03531498135998845,0.005035736867961019,176,105,103
365,training,0.013297654,0.04066219041123987,0.005035736867961019,176,105,103
366,training,0.013297654,0.040804746095091105,0.005035736867961019,176,105,103
367,training,0.013297654,0.040017894003540284,0.005035736867961019,176,105,103
368,training,0.013297654,0.040506514254957444,0.013371615753709312,176,105,103
369,training,0.013297654,0.055968033615499735,0.013371615753709312,176,105,103
370,training,0.0038165979,0.0033758431673049996,0.013371615753709312,177,106,104
371,training,0.0038165979,0.029482953250408173,0.013371615753709312,177,106,104
372,training,0.0038165979,0.0425727847032249,0.013371615753709312,177,106,104
373,training,0.0038165979,0.048842281103134155,0.013371615753709312,177,106,104
374,training,0.0038165979,0.05932892765849829,0.015749285876512274,177,106,104
375,training,0.0031494496,0.005690477788448334,0.015749285876512274,178,107,105
376,training,0.0031494496,0.008683002553880218,0.015749285876512274,178,107,105
377,training,0.0031494496,0.00797074194997549,0.015749285876512274,178,107,105
378,training,0.0031494496,0.006819075904786587,0.015749285876512274,178,107,105
379,training,0.0031494496,0.009063309989869595,0.015749285876512274,178,107,105
380,training,0.0031494496,0.006477109156548977,0.005158900452912294,178,107,105
381,training,0.0031494496,0.006964526139199734,0.005158900452912294,178,107,105
382,training,0.0031494496,0.004934540949761871,0.005158900452912294,178,107,105
383,training,0.0031494496,0.007248780690133572,0.005158900452912294,178,107,105
384,training,0.0031494496,0.008573923725634813,0.005158900452912294,178,107,105
385,training,0.0031494496,0.009665165562182665,0.0037042676869984575,178,107,105
386,training,0.0031494496,0.008908484596759081,0.0037042676869984575,178,107,105
387,training,0.0031494496,0.008252326864749193,0.0037042676869984575,178,107,105
388,training,0.0031494496,0.00860225036740303,0.0037042676869984575,178,107,105
389,training,0.0031494496,0.008679960388690233,0.0037042676869984575,178,107,105
390,training,0.0031494496,0.0038693631067872065,0.004902043483506768,178,107,105
391,training,0.0031494496,0.008397493977099657,0.004902043483506768,178,107,105
392,training,0.0031494496,0.00851992191746831,0.004902043483506768,178,107,105
393,training,0.0031494496,0.013711816631257534,0.004902043483506768,178,107,105
394,training,0.0031494496,0.013711816631257534,0.004902043483506768,178,107,105
395,training,0.0031494496,0.024161845445632935,0.009231614626025878,178,107,105
396,training,0.0031494496,0.024060994386672974,0.009231614626025878,178,107,105
397,training,0.0031494496,0.023955494165420532,0.009231614626025878,178,107,105
398,training,0.0031494496,0.023326456546783447,0.009231614626025878,178,107,105
399,training,0.0031494496,0.04019137751311064,0.009231614626025878,178,107,105
400,training,0.0031494496,0.04213270079344511,0.009231614626025878,178,107,105
401,training,0.0031494496,0.039569015614688396,0.018079737042791814,178,107,105
402,training,0.0031494496,0.05655559059232473,0.018079737042791814,178,107,105
403,training,0.003946279,0.09824715927243233,0.018079737042791814,179,108,106
404,training,0.0030511154,0.0018656514585018158,0.018079737042791814,180,109,107
405,training,0.0030511154,0.01678946800529957,0.018079737042791814,180,109,107
406,training,0.0030511154,0.044273149222135544,0.018079737042791814,180,109,107
407,training,0.0030511154,0.044273149222135544,0.02522618186530928,180,109,107
