step,mode,loss,angle_error(rad),distance(m)
1,training,0.0,0.0,0.0
2,training,0.02015975,0.014601573348045349,0.0
3,training,0.023766156,0.019697006791830063,0.0
4,training,0.024691235,0.019481884315609932,0.0
5,training,0.025554122,0.008332221768796444,0.0
6,training,0.02344621,0.005984244402498007,0.0
7,training,0.010666193,0.02018361072987318,0.0
8,training,0.0179484,0.01938881166279316,0.0
9,training,0.015118254,0.01625514961779118,0.04520219034051593
10,training,0.017606715,0.09693919867277145,0.04520219034051593
11,training,0.01139647,0.09626741614192724,0.04520219034051593
12,training,0.016261574,0.04307500505819916,0.04520219034051593
13,training,0.015127003,0.11006996780633926,0.04520219034051593
14,training,0.012857063,0.11201589927077293,0.04520219034051593
15,training,0.01966137,0.24137545935809612,0.10128484291162403
16,training,0.013191301,0.23543338663876054,0.10128484291162403
17,training,0.021992201,0.23902773298323152,0.10128484291162403
18,training,0.020574272,0.11377524677664043,0.10128484291162403
19,training,0.020167775,0.20948473084717992,0.10128484291162403
20,training,0.021214794,0.2062535602599382,0.1712186409400753
21,training,0.017213857,0.19338501617312429,0.1712186409400753
22,training,0.026031034,0.1702849417924881,0.1712186409400753
23,training,0.014563126,0.26252158731222147,0.1712186409400753
24,training,0.020366475,0.14320402592420578,0.1712186409400753
25,training,0.0068011354,0.23740776628255844,0.1712186409400753
26,training,0.022264244,0.15201077982783318,0.25331152169063476
27,training,0.029308248,0.18065201491117475,0.25331152169063476
28,training,0.02251453,0.2642378583550453,0.25331152169063476
29,training,0.017070156,0.17342647165060046,0.25331152169063476
30,training,0.016863585,0.21055161207914352,0.25331152169063476
31,training,0.017758492,0.011458836495876312,0.25331152169063476
32,training,0.01813236,0.020712733268737793,0.2942752991107709
33,training,0.014070318,0.0019167512655258317,0.2942752991107709
34,training,0.023140905,0.03997550159692766,0.2942752991107709
35,training,0.012647547,0.007928192615509033,0.2942752991107709
36,training,0.01497278,0.0987326800823212,0.2942752991107709
37,training,0.007184297,0.015192467719316483,0.006188576979573316
38,training,0.015199622,0.031029090285301195,0.006188576979573316
39,training,0.02447819,0.02445319667458535,0.006188576979573316
40,training,0.01761212,0.012657694518566118,0.006188576979573316
41,training,0.013587637,0.051927048712968826,0.006188576979573316
42,training,0.011485985,0.15100986883044243,0.006188576979573316
43,training,0.014371996,0.07505105622112751,0.10239570769683097
44,training,0.0084378,0.03709616512060167,0.10239570769683097
45,training,0.016598985,0.07131966855376959,0.10239570769683097
46,training,0.0029581033,0.08064698055386543,0.10239570769683097
47,training,0.01565706,0.16151162981987,0.10239570769683097
48,training,0.013911721,0.13642573356628418,0.10239570769683097
49,training,0.013829751,0.15337608382105827,0.10239570769683097
50,training,0.009553407,0.13180973939597607,0.14888490045474784
51,training,0.014723473,0.1753967357799411,0.14888490045474784
52,training,0.026997745,0.20298836729489267,0.14888490045474784
53,training,0.014514496,0.1819647450465709,0.14888490045474784
54,training,0.005590048,0.20764882024377584,0.14888490045474784
55,training,0.011867287,0.2728525511920452,0.14888490045474784
56,training,0.009919474,0.2879183879122139,0.14888490045474784
57,training,0.015925478,0.31007977155968547,0.09744341619001
58,training,0.018512137,0.3044686038047075,0.09744341619001
59,training,0.008803273,0.3029900239780545,0.09744341619001
60,training,0.008003444,0.3221036195755005,0.09744341619001
61,training,0.009506578,0.3285747282207012,0.09744341619001
62,training,0.034156796,0.33577864244580274,0.09744341619001
63,training,0.031519413,0.3275569453835487,0.09744341619001
64,training,0.0076367464,0.3358301892876625,0.00989015336737711
65,training,0.047907658,0.3094201125204563,0.00989015336737711
66,training,0.012122733,0.30516682192683225,0.00989015336737711
67,training,0.021978533,0.31536683067679405,0.00989015336737711
68,training,0.03333484,0.33032556250691414,0.00989015336737711
69,training,0.0071035316,0.2911653146147728,0.00989015336737711
70,training,0.015786892,0.3313620314002037,0.00989015336737711
71,training,0.044807896,0.29816172644495964,0.12062021160519584
72,training,0.033485368,0.30751534597948194,0.12062021160519584
73,training,0.031652424,0.3058941401541233,0.12062021160519584
74,training,0.021990536,0.2864072546362877,0.05749500294777714
75,training,0.039486323,0.7906041592359543,0.05749500294777714
76,training,0.027983448,0.02169087529182434,0.05749500294777714
77,training,0.015444556,0.4545854404568673,0.05749500294777714
78,training,0.011830212,0.4102681577205658,0.05749500294777714
79,training,0.022260461,0.426124133169651,0.05749500294777714
80,training,0.022321083,0.5212021209299564,0.05749500294777714
81,training,0.0228347,0.24293357878923416,0.05749500294777714
82,training,0.115572184,0.1653238721191883,0.05749500294777714
83,training,0.09258278,0.4485055413097143,0.05749500294777714
84,training,0.052666783,0.019180186092853546,0.0697511723781422
85,training,0.03846128,0.19558896869421005,0.0697511723781422
86,training,0.023312526,0.20377752929925919,0.0697511723781422
87,training,0.03663397,0.18807028234004974,0.0697511723781422
88,training,0.07916281,0.17456740140914917,0.0697511723781422
89,training,0.035414185,0.16103066504001617,0.0697511723781422
90,training,0.021259753,0.15065827965736384,0.0697511723781422
91,training,0.025122838,0.12691743671894068,0.0697511723781422
92,training,0.046959266,0.14737382531166082,0.0697511723781422
93,training,0.031787634,0.14227081835269934,0.0697511723781422
94,training,0.050585035,0.1528219580650329,0.0697511723781422
95,training,0.012876713,0.15845179557800287,0.0697511723781422
96,training,0.033744197,0.1799430400133133,0.0697511723781422
97,training,0.023880064,0.2048308625817299,0.0697511723781422
98,training,0.02281074,0.22409172356128693,0.0697511723781422
99,training,0.046401717,0.227352537214756,0.0697511723781422
100,training,0.026210275,0.22083683311939234,0.0697511723781422
101,training,0.019457921,0.20016910135746008,0.0697511723781422
102,training,0.011194622,0.15352721512317657,0.0697511723781422
103,training,0.015395362,0.14163826406002045,0.0697511723781422
104,training,0.024075104,0.09469403326511383,0.0697511723781422
105,training,0.011780232,0.09087048470973969,0.0697511723781422
106,training,0.028999368,0.08654630184173584,0.0697511723781422
107,training,0.006036252,0.08155776560306549,0.0697511723781422
108,training,0.04014889,0.0632648766040802,0.0697511723781422
109,training,0.015048003,0.06715057790279388,0.0697511723781422
110,training,0.013332207,0.08312352001667023,0.0697511723781422
111,training,0.045578424,0.08516012132167822,0.0697511723781422
112,training,0.045118134,0.10802724957466125,0.0697511723781422
113,training,0.01540342,0.12025071680545807,0.0697511723781422
114,training,0.062158626,0.13828198611736298,0.0697511723781422
115,training,0.04248746,0.13971881568431854,0.0697511723781422
116,training,0.054393686,0.14869254827499384,0.0697511723781422
117,training,0.0281625,0.12934216856956482,0.0697511723781422
118,training,0.018224591,0.09166447818279266,0.0697511723781422
119,training,0.009294617,0.0662345141172409,0.0697511723781422
120,training,0.008206306,0.05397135019302368,0.0697511723781422
121,training,0.02640166,0.005504995584487915,0.0697511723781422
122,training,0.007767193,0.04301151633262634,0.0697511723781422
123,training,0.0024829058,0.05862155556678772,0.0697511723781422
124,training,0.0108610215,0.07978269457817078,0.0697511723781422
125,training,0.01847249,0.08784031867980951,0.0697511723781422
126,training,0.022447867,0.43940916657447815,0.0697511723781422
127,training,0.015525536,0.1014645844697952,0.7276749235160641
128,training,0.020113228,0.3375786542892456,0.7276749235160641
129,training,0.01222069,0.3818109482526779,0.7276749235160641
130,training,0.012190683,0.6871492601931095,0.7276749235160641
131,training,0.06742456,0.9986212067306042,0.7276749235160641
132,training,0.015858717,0.9285174980759621,0.6279096345943102
133,training,0.010777453,0.8252048306167126,0.6279096345943102
134,training,0.14307715,0.7039924412965775,0.6279096345943102
135,training,0.008270757,0.6575447916984558,0.5711850148864336
136,training,0.009449112,0.5809792876243591,0.5711850148864336
137,training,0.0490853,0.4742152541875839,0.4972683363244604
138,training,0.009969189,0.4948934540152551,0.4972683363244604
139,training,0.0034461103,0.5833524763584137,0.42718340593639037
140,training,0.022664662,0.584746778011322,0.3594581968788454
141,training,0.052782744,0.650148868560791,0.3594581968788454
142,training,0.14262432,0.5743204355239868,0.3594581968788454
143,training,0.046563584,0.4675776958465576,0.26215586178385747
