step,mode,loss,angle_error(rad),distance(m)
1,training,0.0016667657,0.03666820377111435,0.0
2,training,0.020112626,0.009879101067781441,0.0
3,training,0.019390827,0.005572352558374405,0.0
4,training,0.025165461,0.04463539272546768,0.0
5,training,0.025434734,0.025137770920991898,0.0
6,training,0.0146985045,0.03206084296107292,0.0
7,training,0.026517818,0.04180180933326483,0.0
8,training,0.015121069,0.030306164175271988,0.0
9,training,0.026038768,0.01987651828676462,0.032459466741691555
10,training,0.013426111,0.052466126158833504,0.032459466741691555
11,training,0.024524396,0.06517352163791656,0.032459466741691555
12,training,0.011109054,0.06880951300263405,0.032459466741691555
13,training,0.015052999,0.05186539888381957,0.032459466741691555
14,training,0.021421969,0.06043919641524553,0.032459466741691555
15,training,0.010526854,0.06468449253588915,0.09886353253702905
16,training,0.017744718,0.12424330413341524,0.09886353253702905
17,training,0.023125613,0.13154700677841902,0.09886353253702905
18,training,0.018005328,0.13279167748987675,0.09886353253702905
19,training,0.0069703083,0.13349763676524162,0.09886353253702905
20,training,0.0150917,0.14548600092530248,0.09886353253702905
21,training,0.022746723,0.14911105064675212,0.19939417863085748
22,training,0.017079646,0.19855440640822053,0.19939417863085748
23,training,0.014430244,0.15517380880191922,0.19939417863085748
24,training,0.016304852,0.19880966539494696,0.19939417863085748
25,training,0.022595726,0.20005420641973612,0.19939417863085748
26,training,0.023473062,0.20202491432428357,0.19939417863085748
27,training,0.016629143,0.1870166752487421,0.3190375843888724
28,training,0.024403088,0.28042227029800415,0.3190375843888724
29,training,0.0218766,0.22356971725821495,0.3190375843888724
30,training,0.026081903,0.14374908804893494,0.3190375843888724
31,training,0.014808838,0.13696704059839251,0.3190375843888724
32,training,0.010350294,0.08881708234548569,0.43116844684456473
33,training,0.007504106,0.19782068580389023,0.43116844684456473
34,training,0.017648164,0.18773231655359265,0.43116844684456473
35,training,0.031118324,0.1015925221145153,0.43116844684456473
36,training,0.014552664,0.03235040605068207,0.43116844684456473
37,training,0.018442128,0.043191203847527504,0.499680249723946
38,training,0.019832596,0.1706306375563145,0.499680249723946
39,training,0.026167607,0.13954933919012544,0.499680249723946
40,training,0.0037951474,0.061734013259410844,0.499680249723946
41,training,0.019801125,0.12650432810187337,0.499680249723946
42,training,0.012035577,0.06823522783815861,0.499680249723946
43,training,0.009354754,0.03168178349733353,0.4755063249297833
44,training,0.025854498,0.01647750288248062,0.4755063249297833
45,training,0.014685519,0.08036694303154945,0.4755063249297833
46,training,0.021456841,0.1640670895576477,0.4755063249297833
47,training,0.008335308,0.1299421824514866,0.4755063249297833
48,training,0.019748379,0.05136507377028465,0.4755063249297833
49,training,0.017419176,0.02396395057439804,0.0679067725524415
50,training,0.028095841,0.07850390300154686,0.0679067725524415
51,training,0.010242324,0.1239297762513161,0.0679067725524415
52,training,0.011547819,0.08166574314236644,0.0679067725524415
53,training,0.01391715,0.008884601294994354,0.0679067725524415
54,training,0.015614947,0.06939742714166641,0.0679067725524415
55,training,0.010980696,0.04553787782788277,0.19650422110472324
56,training,0.014240272,0.04486507084220648,0.19650422110472324
57,training,0.014179427,0.032102744560688734,0.19650422110472324
58,training,0.007933412,0.13325244188308716,0.19650422110472324
59,training,0.011107083,0.15606489777565002,0.19650422110472324
60,training,0.021864563,0.11027484200894833,0.19650422110472324
61,training,0.007718252,0.16195166110992432,0.19650422110472324
62,training,0.014690774,0.09025408327579498,0.21588244793365982
