step,mode,loss,angle_error(rad),distance(m)
1,training,0.0016672816,0.03920938051305711,0.0
2,training,0.020906169,0.02753596939146518,0.0
3,training,0.020173257,0.013097835704684258,0.0
4,training,0.02489417,0.00989169254899025,0.0
5,training,0.029772371,0.015047706663608551,0.0
6,training,0.032283552,0.026484115049242973,0.0
7,training,0.02774019,0.03408689796924591,0.0
8,training,0.029210325,0.03650999441742897,0.029941939426860454
9,training,0.027736176,0.09841961041092873,0.029941939426860454
10,training,0.030317914,0.10319133102893828,0.029941939426860454
11,training,0.029537544,0.12027815170586109,0.029941939426860454
12,training,0.01571953,0.12105278484523295,0.029941939426860454
13,training,0.024656767,0.08483954891562462,0.029941939426860454
14,training,0.029659461,0.08247690740972757,0.12901515914536626
15,training,0.024266068,0.12391893425956368,0.12901515914536626
16,training,0.020710777,0.12629453465342522,0.12901515914536626
17,training,0.010982921,0.10202476382255554,0.12901515914536626
18,training,0.019060468,0.07448970060795544,0.12901515914536626
19,training,0.014124703,0.054935154505074024,0.12901515914536626
20,training,0.021940954,0.0347490105777979,0.2188008188780712
21,training,0.036672667,0.11146608367562294,0.2188008188780712
22,training,0.034430675,0.09193722531199458,0.2188008188780712
23,training,0.026155047,0.07309064269065858,0.2188008188780712
24,training,0.013843099,0.046161722391843796,0.2188008188780712
25,training,0.025489993,0.019900482147932046,0.2188008188780712
26,training,0.034225784,0.0014929026365280151,0.282608755666924
27,training,0.017926216,0.10674145445227623,0.282608755666924
28,training,0.016318806,0.09315905347466469,0.282608755666924
29,training,0.02334648,0.06555152311921121,0.282608755666924
30,training,0.015938802,0.008724953979253769,0.282608755666924
31,training,0.03273258,0.014931213110685349,0.282608755666924
32,training,0.020979512,0.04176589101552962,0.31137920948709513
33,training,0.012452406,0.14278298988938332,0.31137920948709513
34,training,0.032319214,0.1018967404961586,0.31137920948709513
35,training,0.020537414,0.03573238849639891,0.31137920948709513
36,training,0.04334325,0.08428806439042089,0.31137920948709513
37,training,0.022103053,0.06385225988924503,0.31137920948709513
38,training,0.024719844,0.008464422076940536,0.3075800374211181
39,training,0.037203588,0.08297952637076378,0.3075800374211181
40,training,0.010379545,0.03605212457478048,0.3075800374211181
