step,mode,loss,angle_error(rad),distance(m)
1,training,0.0016672509,0.03613930521532893,0.0
2,training,0.0202217,0.002463255077600479,0.0
3,training,0.020157503,0.024346489459276192,0.0
4,training,0.019903248,0.023629065603017814,0.0
5,training,0.025835365,0.020968493074178703,0.0
6,training,0.027193453,0.025685369968414307,0.0
7,training,0.02514136,0.06517091207206249,0.0
8,training,0.024508292,0.08011885732412338,0.0
9,training,0.026811974,0.09510479867458344,0.03378898480182511
10,training,0.019701276,0.10356320813298225,0.03378898480182511
11,training,0.017508887,0.08940537273883818,0.03378898480182511
12,training,0.017950034,0.1056321612559259,0.03378898480182511
13,training,0.012052267,0.10508803464472294,0.03378898480182511
14,training,0.019998092,0.10900024324655533,0.08065824039249278
15,training,0.0067910524,0.10791894420981407,0.08065824039249278
16,training,0.011860102,0.07916324958205223,0.08065824039249278
17,training,0.011371418,0.05816674046218395,0.08065824039249278
18,training,0.0151776755,0.03138131275773047,0.08065824039249278
19,training,0.034507867,0.12067954801023006,0.08065824039249278
20,training,0.025396848,0.11887271888554093,0.14500150668534395
21,training,0.012868987,0.08909792453050613,0.14500150668534395
22,training,0.011813635,0.17146012838929892,0.14500150668534395
23,training,0.014923887,0.14068570826202628,0.14500150668534395
24,training,0.01672465,0.10271109826862813,0.14500150668534395
25,training,0.0098014735,0.05341651849448681,0.14500150668534395
26,training,0.010538119,0.03227573726326227,0.16411227470457498
27,training,0.020795137,0.10092138452455401,0.16411227470457498
28,training,0.018957522,0.05602260306477545,0.16411227470457498
29,training,0.023935372,0.006739452481269836,0.16411227470457498
30,training,0.008197966,0.05589793622493744,0.16411227470457498
31,training,0.01051907,0.07742659375071526,0.16411227470457498
32,training,0.015367264,0.07030594348907471,0.1588475495782951
33,training,0.006977627,0.036581452935934074,0.1588475495782951
34,training,0.016854296,0.03422848368063569,0.1588475495782951
35,training,0.017057063,0.010233487002551552,0.1588475495782951
36,training,0.016576944,0.032054999843239784,0.1588475495782951
37,training,0.028860066,0.06284535676240921,0.1588475495782951
38,training,0.023167495,0.02104849694296718,0.13840778491479835
39,training,0.014920762,0.0188540481030941,0.13840778491479835
40,training,0.018664882,0.032777734100818634,0.13840778491479835
